question_number,correct_answer,category_type_id
1,A,23
2,D,6
3,B,5
4,D,23
5,D,16
6,40,23
7,7,13
8,B,13
9,D,12
10,A,5
11,A,1
12,A,13
13,70,17
14,10,7
15,A,9
16,B,13
17,C,9
18,C,11
19,B,10
20,16,23
21,28,26
22,A,27
23,B,2
24,C,19
25,B,9
26,B,5
27,289,3
